Time	SecL	RPM	MAP	TPS	lambda	MAT	CLT	Engine	Gego	Gair	Gwarm	Gbaro	Gammae	TPSacc	Gve	PW	IacDC	IacSteps	DutyCycle1	lambdaTarget	Spark	Dwell	EGT #1	EGT #2	Vbatt	Exhaust Pressure	Fuel Pressure	Misc 1	Misc 2	Misc 3	Misc 4	Worst Knock Value	Worst Knock Adjust	StatusBits	BoostTgt	BoostDC	BoostInt	IacInt	alsigncut	speed	speed(ref)	Gear	rtest0	rtest1	rtest2	rtest3	rtest4	rtest5	rtest6	rtest7	tpsDOT	BoostDCalt
0.000	96	1730	17.8	100	1.085	11.0	81.0	65	100	0.00	100	100	101	0.0	76	0.000	0	0	0.0	1.000	21.5	2.30	0	0	14.00	4.99	4.99	5.00	4.04	0.00	4.99	1020	0.00	0	0	0	0	128	0.00	0	0	1	-20.760	-12.456	-2.768	0.000	-177.152	-177.152	-177.152	-177.152	0.00	0
0.046	96	1732	18.0	100	1.094	11.0	81.0	65	100	0.00	100	100	101	0.0	76	0.000	0	0	0.0	1.000	22.0	2.30	0	0	13.76	4.98	4.98	5.00	4.03	0.00	5.00	1020	0.00	0	0	0	0	128	0.00	0	0	1	-5.542	5.542	34.640	0.000	-177.357	-177.357	-177.357	-177.357	0.00	0
0.094	96	1732	18.0	100	1.116	11.0	81.0	65	100	0.00	100	100	101	0.0	76	0.000	0	0	0.0	1.000	22.0	2.30	0	0	14.00	4.99	4.99	5.00	4.03	0.00	5.00	1020	0.00	0	0	0	0	128	0.00	0	0	1	-5.542	5.542	2.771	-4.157	-177.357	-177.357	-177.357	-177.357	0.00	0
0.141	96	1722	18.0	100	1.133	11.0	81.0	65	100	0.00	100	100	101	0.0	76	0.000	0	0	0.0	1.000	21.5	2.30	0	0	14.00	4.98	4.99	5.00	4.04	0.00	5.00	0	0.00	0	0	0	0	128	0.00	0	0	1	-39.950	5.510	2.755	-23.419	-176.333	-176.333	-176.333	-176.333	0.00	0
0.193	96	1718	18.0	100	1.167	11.0	81.0	65	100	0.00	100	100	101	0.0	76	0.000	0	0	0.0	1.000	21.5	2.30	0	0	13.76	4.99	4.98	5.00	4.04	0.00	5.00	1020	0.00	0	0	0	0	128	0.00	0	0	1	-16.493	-6.872	16.493	-23.365	-175.923	-175.923	-175.923	-175.923	0.00	0
0.233	96	1715	18.0	100	1.218	11.0	81.0	65	100	0.00	100	100	101	0.0	76	0.000	0	0	0.0	1.000	21.5	2.30	0	0	14.00	4.99	4.99	5.00	4.03	0.00	5.00	0	0.00	0	0	0	0	128	0.00	0	0	1	-16.464	-6.860	28.812	12.348	-175.616	-175.616	-175.616	-175.616	0.00	0
0.280	96	1714	18.3	100	1.286	11.0	81.0	65	100	0.00	100	100	101	0.0	76	0.000	0	0	0.0	1.000	21.5	2.30	0	0	14.00	4.98	4.98	4.99	4.04	0.00	4.99	0	0.00	0	0	0	0	128	0.00	0	0	1	-13.712	-1.371	28.795	-16.454	-175.514	-175.514	-175.514	-175.514	0.00	0
0.328	96	1709	18.3	100	1.371	11.0	81.0	65	100	0.00	100	100	101	0.0	76	0.000	0	0	0.0	1.000	21.5	2.30	0	0	13.76	4.99	4.99	5.00	4.04	0.00	5.00	1020	0.00	0	0	0	0	128	0.00	0	0	1	-23.242	-30.078	-5.469	-16.406	-175.002	-175.002	-175.002	-175.002	0.00	0
0.375	96	1700	18.3	100	1.490	11.0	81.0	65	100	0.00	100	100	101	0.0	76	0.000	0	0	0.0	1.000	21.0	2.30	0	0	13.76	4.99	4.99	5.00	4.03	0.03	5.00	0	0.00	0	0	0	0	128	0.00	0	0	1	-23.120	-29.920	28.560	-17.680	-174.080	-174.080	-174.080	-174.080	0.00	0
0.424	96	1699	18.3	100	1.830	11.0	81.0	65	100	0.00	100	100	101	0.0	76	0.000	0	0	0.0	1.000	21.0	2.30	0	0	13.88	4.99	4.98	5.00	4.02	0.00	5.00	0	0.00	0	0	0	0	128	0.00	0	0	1	-2.718	-29.902	28.543	5.437	-173.978	-173.978	-173.978	-173.978	0.00	0
